hr,sent_num
78,P
78,P
73,P
97,P
98,P
98,P
98,P
97,P
97,P
87,P
87,P
86,P
80,P
85,P
85,P
85,P
86,P
86,P
96,P
94,P
96,P
98,P
101,P
102,P
100,P
102,P
102,P
103,P
103,P
101,P
100,P
99,P
100,P
90,N
90,N
90,N
89,N
88,N
101,P
101,P
101,P
101,P
81,P
81,P
80,P
81,P
81,P
93,N
93,N
89,N
89,N
83,P
82,P
82,P
81,P
90,P
81,P
81,P
82,P
82,P
82,P
80,P
79,P
79,P
80,P
83,P
83,P
82,P
81,P
80,P
80,P
80,P
80,P
77,P
77,P
77,P
77,P
77,P
123,N
122,N
122,N
115,N
118,N
116,N
119,N
120,N
81,N
82,N
83,N
83,N
84,N
85,N
90,N
93,N
90,P
92,P
92,P
92,P
100,P
93,P
93,P
93,P
93,P
93,P
93,P
93,P
87,P
87,P
87,P
87,P
88,P
89,P
91,P
92,P
97,P
90,P
90,P
90,P
89,P
90,P
91,P
101,P
97,P
97,P
96,P
96,P
96,P
95,P
97,P
98,P
98,P
98,P
96,P
96,P
96,P
97,P
97,P
96,P
87,N
87,N
90,N
90,N
89,N
84,P
84,P
84,P
86,P
87,P
87,N
88,N
88,N
88,N
89,N
90,N
91,N
86,N
86,N
86,N
86,N
94,N
93,N
93,N
92,N
92,N
83,N
83,N
83,N
83,N
83,N
83,N
92,P
92,P
94,P
97,P
96,P
97,P
98,P
96,P
95,P
96,P
96,P
96,P
96,P
87,P
87,P
86,P
85,P
84,P
86,P
89,P
90,P
68,P
69,P
69,P
69,P
68,P
69,P
72,P
88,P
88,P
87,P
87,P
83,P
78,P
78,P
82,P
82,P
83,P
83,N
83,N
82,N
82,N
88,P
87,P
87,P
87,P
87,P
68,P
69,P
71,P
71,P
71,P
108,N
108,N
108,N
107,N
106,N
102,N
101,N
85,N
85,N
85,N
86,N
97,P
97,P
74,P
73,P
74,P
100,N
100,N
102,N
102,N
102,N
104,P
105,P
104,P
105,P
105,P
97,P
97,P
98,P
98,P
97,N
97,N
97,N
97,N
87,P
87,P
86,P
87,P
87,P
92,P
92,P
92,P
92,P
92,P
92,P
91,P
91,P
91,P
88,N
88,N
89,N
88,N
114,P
115,P
117,P
117,P
115,P
113,P
113,P
112,P
94,P
93,P
89,P
90,P
91,P
91,P
90,P
105,P
107,P
106,P
104,P
102,P
104,P
103,P
89,P
89,P
90,P
90,P
89,P
84,P
87,P
86,P
86,P
83,P
87,P
87,P
87,P
83,P
84,P
81,P
81,P
81,P
81,P
81,P
83,P
82,P
82,P
82,P
81,P
79,N
80,N
80,N
80,N
78,N
80,N
80,N
81,N
80,N
82,N
85,N
86,N
106,P
106,P
106,P
105,P
79,N
80,N
80,N
80,N
80,N
96,N
96,N
89,N
87,N
86,P
86,P
86,P
86,P
86,P
88,P
88,P
88,P
88,P
89,P
90,P
89,P
89,P
89,P
89,P
89,P
89,P
89,P
86,P
86,P
86,P
86,P
85,P
85,P
79,P
79,P
79,P
78,P
84,N
84,N
84,N
85,N
85,N
85,N
91,N
90,N
90,N
90,N
90,P
90,P
89,P
90,P
90,P
126,P
125,P
124,P
123,P
120,P
122,P
119,P
112,P
111,P
110,P
91,N
91,N
91,N
91,N
91,N
90,N
78,P
78,P
78,P
78,P
77,P
77,P
77,P
77,P
79,P
86,P
90,P
91,P
91,P
91,P
90,P
90,P
87,P
87,P
87,P
86,P
77,P
77,P
77,P
77,P
77,P
99,P
99,P
99,P
99,P
99,P
90,P
90,P
90,P
90,P
89,P
84,P
85,P
85,P
85,P
85,P
91,P
91,P
93,P
95,P
96,P
97,P
96,P
97,P
107,P
106,P
105,P
104,P
101,P
101,P
101,P
91,N
91,N
91,N
91,N
91,N
91,N
99,N
99,N
99,N
98,N
97,N
94,N
94,N
95,N
95,N
95,N
95,N
96,N
97,N
98,N
94,P
94,P
94,P
94,P
95,P
95,P
94,P
93,P
93,P
87,N
87,N
87,N
89,N
90,N
106,N
104,N
102,N
103,N
105,N
106,N
106,N
105,N
104,N
102,N
105,P
104,P
105,P
104,P
103,P
103,P
103,P
90,P
91,P
91,P
91,P
90,P
91,P
106,P
104,P
107,P
105,P
106,P
105,P
104,P
106,P
108,P
113,P
116,P
98,P
97,P
94,P
93,P
94,P
94,P
94,P
93,P
91,P
90,P
90,P
92,P
94,P
97,P
99,P
103,P
102,P
100,P
92,P
92,P
94,P
95,P
100,P
101,P
101,P
101,P
101,P
101,P
101,P
100,P
100,P
102,P
104,P
94,P
94,P
94,P
95,P
96,P
97,P
76,P
77,P
77,P
77,P
91,P
89,P
89,P
88,P
88,P
87,P
89,P
89,P
89,P
90,P
93,P
81,N
81,N
81,N
81,N
81,N
86,P
87,P
87,P
87,P
90,P
90,P
89,P
89,P
89,P
89,P
107,P
107,P
106,P
106,P
106,P
83,P
83,P
84,P
85,P
84,P
83,P
84,P
84,P
84,P
85,P
89,P
89,P
96,P
96,P
99,P
101,P
100,P
102,P
103,P
105,P
104,P
102,P
102,P
102,P
102,P
104,P
104,P
103,P
103,P
103,P
103,P
102,P
106,P
106,P
107,P
108,P
109,P
108,P
108,P
107,P
107,P
106,P
105,P
104,P
104,P
104,P
104,P
104,P
75,P
75,P
75,P
75,P
75,P
110,N
110,N
109,N
109,N
109,N
99,P
99,P
101,P
101,P
102,P
102,P
102,P
102,P
102,P
102,P
92,P
92,P
92,P
92,P
92,P
91,P
95,P
95,P
95,P
96,P
96,P
100,P
101,P
102,P
90,P
92,P
93,P
94,P
93,P
93,P
92,P
95,N
95,N
95,N
95,N
97,N
99,N
99,N
87,P
87,P
87,P
87,P
89,P
85,P
85,P
85,P
85,P
84,P
85,P
97,N
91,N
88,N
89,N
90,N
90,N
80,P
80,P
81,P
82,P
87,P
96,P
97,P
97,P
99,P
98,P
99,P
97,P
90,P
90,P
91,P
92,P
96,P
97,P
97,P
84,N
91,N
92,N
93,N
91,N
90,N
103,P
103,P
103,P
103,P
103,P
102,N
