hr,steps,gsr,calories,temp,sent_num
93.0,0,5.5115100000000004e-05,1.9,86.0,P
122.0,96,4.96133e-05,7.8,77.9,P
93.0,0,5.5421000000000004e-05,1.8,84.2,P
94.0,0,6.25977e-05,1.9,82.4,P
116.0,0,5.98864e-05,5.5,81.5,P
105.0,0,7.89803e-05,2.7,88.7,P
104.0,0,0.00011193299999999999,2.7,87.8,P
107.0,0,6.0553e-05,3.0,88.7,P
97.0,0,6.02188e-05,2.3,89.6,P
94.0,0,5.76104e-05,2.1,89.6,P
95.0,0,5.5728599999999994e-05,2.0,87.8,N
111.0,95,5.6349e-05,4.7,88.7,P
91.0,0,0.000190426,1.9,85.1,P
94.0,0,5.92271e-05,2.1,86.0,P
100.0,0,0.000144389,2.3,87.8,N
92.0,0,5.89002e-05,1.8,89.6,P
99.0,0,5.60379e-05,2.3,87.8,P
107.0,0,0.0734914,2.9,89.6,P
95.0,0,0.000153454,2.0,86.9,P
95.0,0,5.69762e-05,2.1,87.8,N
98.0,0,5.82517e-05,2.1,89.6,N
94.0,0,5.69762e-05,1.9,88.7,P
96.0,0,5.82517e-05,2.1,89.6,P
95.0,0,6.1227e-05,2.0,89.6,P
93.0,0,5.89002e-05,2.0,89.6,N
94.0,0,5.66617e-05,2.0,87.8,P
99.0,0,5.66617e-05,2.3,88.7,P
93.0,0,5.79302e-05,1.9,89.6,P
99.0,0,7.98595e-05,2.3,87.8,P
93.0,0,6.435430000000001e-05,1.9,88.7,N
89.0,0,8.39385e-05,1.7,89.6,P
80.0,8,9.53342e-05,1.5,86.9,P
85.0,0,0.000848707,1.5,89.6,P
91.0,0,0.0163079,1.9,90.5,P
94.0,0,5.79302e-05,2.1,89.6,P
93.0,0,0.000226071,1.9,89.6,P
91.0,0,5.76104e-05,1.9,89.6,N
95.0,0,5.85751e-05,2.1,88.7,P
92.0,0,5.66617e-05,1.9,88.7,P
90.0,0,5.66617e-05,1.8,87.8,P
102.0,21,0.000639975,2.7,84.2,P
92.0,0,0.00011380799999999999,1.9,83.3,N
89.0,0,8.725450000000001e-05,1.7,88.7,N
91.0,0,6.50707e-05,1.7,87.8,N
92.0,0,5.72925e-05,1.9,89.6,N
98.0,14,5.89002e-05,2.4,89.6,P
93.0,0,5.66617e-05,1.9,88.7,N
100.0,0,5.69762e-05,2.3,89.6,N
93.0,0,6.54318e-05,1.9,88.7,N
92.0,0,5.76104e-05,1.9,89.6,P
83.0,0,5.92271e-05,1.6,89.6,P
88.0,0,5.66617e-05,1.7,87.8,P
89.0,0,8.07485e-05,1.7,90.5,P
95.0,0,0.00714872,2.3,86.9,P
91.0,0,0.0401995,2.0,87.8,P
98.0,0,0.0007897830000000001,2.5,88.7,P
106.0,0,0.0163984,3.0,88.7,P
96.0,0,0.00108274,2.4,87.8,P
93.0,0,0.000441679,2.1,89.6,P
100.0,0,5.69762e-05,2.6,89.6,P
98.0,0,5.82517e-05,2.4,89.6,N
86.0,0,6.1227e-05,1.7,85.1,N
104.0,0,5.3020500000000005e-05,2.8,77.9,P
95.0,0,6.91556e-05,2.2,86.0,P
100.0,0,5.89002e-05,2.5,87.8,P
100.0,0,6.02188e-05,2.6,89.6,N
99.0,0,5.76104e-05,2.5,88.7,N
85.0,0,6.29452e-05,1.5,89.6,P
112.0,28,7.59788e-05,2.6,87.8,P
109.0,80,0.020237,3.3,87.8,P
